Torbens_MetaG_Dir_Name	taxon_oid	Domain	Sequencing_Status	Study_Name	Genome_Name_/_Sample_Name	Sequencing_Center	IMG_Genome_ID	JGI_Project_ID_/_ITS_SP_ID	Geographic_Location	GOLD_Ecosystem	GOLD_Ecosystem_Category	GOLD_Ecosystem_Subtype	GOLD_Ecosystem_Type	GOLD_Sequencing_Depth	GOLD_Sequencing_Quality	GOLD_Sequencing_Status	GOLD_Sequencing_Strategy	GOLD_Specific_Ecosystem	Habitat	Latitude	Longitude	Genome_Size_assembled	Gene_Count_assembled
403975	3300000261	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P20_1000	DOE Joint Genome Institute (JGI)	3300000261	403975	Line P, Starion P20	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	49.566667	-138.666667	100937597	259913
403976	3300000265	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P04_10	DOE Joint Genome Institute (JGI)	3300000265	403976	Line P, Station P4	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.65	-126.666667	161683159	387725
403977	3300000264	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P04_500	DOE Joint Genome Institute (JGI)	3300000264	403977	Line P, Station P4	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	48.65	-126.666667	100368729	259887
403978	3300000263	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P04_1000	DOE Joint Genome Institute (JGI)	3300000263	403978	Line P, Station P4	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	48.65	-126.666667	57375237	146291
403979	3300000262	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_A_09_P04_1300	DOE Joint Genome Institute (JGI)	3300000262	403979	Line P, Station P4	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	48.65	-126.666667	130918350	281305
403980	3300000259	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_J_08_P26_500	DOE Joint Genome Institute (JGI)	3300000259	403980	P26, Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	50	-145	117987648	302454
403982	3300000137	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample F_10_SI03_10	DOE Joint Genome Institute (JGI)	3300000137	403982	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.35	-123.3	145843534	307376
403983	3300000257	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_F_10_SI03_100	DOE Joint Genome Institute (JGI)	3300000257	403983	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.35	-123.3	194512667	519237
403984	3300000256	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - ample_F_10_SI03_120	DOE Joint Genome Institute (JGI)	3300000256	403984	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.35	-123.3	193892245	429148
403985	3300000255	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_F_10_SI03_135	DOE Joint Genome Institute (JGI)	3300000255	403985	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.35	-123.3	167905077	368662
403986	3300000213	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_F_10_SI03_150	DOE Joint Genome Institute (JGI)	3300000213	403986	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Photic zone	Marine	48.35	-123.3	139108472	268237
403987	3300000198	*Microbiome	Permanent Draft	Marine microbial communities from expanding oxygen minimum zones in the northeastern subarctic Pacific Ocean	Marine microbial communities from expanding oxygen minimum zones in Line P, North Pacific Ocean - sample_F_10_SI03_200	DOE Joint Genome Institute (JGI)	3300000198	403987	Line P, North Pacific Ocean	Environmental	Aquatic	Oceanic	Marine			Complete	Metagenome	Aphotic zone	Marine	48.35	-123.3	156793823	306148
404803	3300000820	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 28JUN2007 epilimnion	DOE Joint Genome Institute (JGI)	3300000820	404803	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	1419216	1473
404804	3300020677	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2007 epilimnion	DOE Joint Genome Institute (JGI)	3300020677	404804	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	25485584	55005
404805	3300000752	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 27JUN2007 epilimnion	DOE Joint Genome Institute (JGI)	3300000752	404805	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404806	3300000765	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 02JUL2007 epilimnion	DOE Joint Genome Institute (JGI)	3300000765	404806	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404807	3300020733	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 12JUL2007 epilimnion	DOE Joint Genome Institute (JGI)	3300020733	404807	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	146453544	306397
404808	3300021121	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 25JUL2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021121	404808	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	59347694	138452
404809	3300021115	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 31JUL2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021115	404809	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	42954073	103315
404810	3300021133	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 09AUG2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021133	404810	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	107027456	243461
404811	3300021128	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 20AUG2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021128	404811	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	75579276	174802
404812	3300020705	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 27AUG2007 epilimnion	DOE Joint Genome Institute (JGI)	3300020705	404812	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	84769303	182272
404814	3300020718	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 17SEP2007 epilimnion	DOE Joint Genome Institute (JGI)	3300020718	404814	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	106789479	233790
404815	3300021129	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 01OCT2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021129	404815	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	178283049	215966
404816	3300021130	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 16OCT2007 epilimnion	DOE Joint Genome Institute (JGI)	3300021130	404816	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	102176888	212311
404817	3300020696	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 05NOV2007 epilimnion	DOE Joint Genome Institute (JGI)	3300020696	404817	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	80341740	158801
404859	3300000773	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 14NOV2007 epilimnion	DOE Joint Genome Institute (JGI)	3300000773	404859	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404860	3300021111	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 30APR2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021111	404860	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	16803924	35616
404861	3300020676	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 22MAY2008 epilimnion	DOE Joint Genome Institute (JGI)	3300020676	404861	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	5188239	13967
404862	3300021109	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 29MAY2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021109	404862	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	8783725	22864
404863	3300021112	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 13JUN2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021112	404863	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	24212037	52528
404864	3300000628	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 24JUN2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000628	404864	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404865	3300000616	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 01JUL2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000616	404865	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404866	3300000587	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 08JUL2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000587	404866	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404867	3300020695	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 15JUL2008 epilimnion	DOE Joint Genome Institute (JGI)	3300020695	404867	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	75674208	157046
404868	3300000585	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 22JUL2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000585	404868	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404869	3300021142	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 29JUL2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021142	404869	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	381561863	726457
404870	3300021127	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 05AUG2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021127	404870	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	92083396	204634
404871	3300000612	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 12AUG2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000612	404871	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404872	3300021122	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 19AUG2008 epilimnion	DOE Joint Genome Institute (JGI)	3300021122	404872	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	70010800	145763
404873	3300000768	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 25AUG2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000768	404873	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404874	3300000631	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 09SEP2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000631	404874	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404875	3300000743	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 20SEP2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000743	404875	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404876	3300000630	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 04OCT2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000630	404876	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404877	3300000758	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 23OCT2008 epilimnion	DOE Joint Genome Institute (JGI)	3300000758	404877	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404878	3300000769	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 29MAY2009 epilimnion	DOE Joint Genome Institute (JGI)	3300000769	404878	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404879	3300020728	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 03JUN2009 epilimnion	DOE Joint Genome Institute (JGI)	3300020728	404879	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	138407268	277226
404880	3300000588	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 08JUN2009 epilimnion	DOE Joint Genome Institute (JGI)	3300000588	404880	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404882	3300000649	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 23JUN2009 epilimnion	DOE Joint Genome Institute (JGI)	3300000649	404882	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404883	3300021118	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 29JUN2009 epilimnion	DOE Joint Genome Institute (JGI)	3300021118	404883	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	52212725	114622
404884	3300021131	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 07JUL2009 epilimnion	DOE Joint Genome Institute (JGI)	3300021131	404884	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	95313566	216762
404885	3300000648	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 13JUL2009 epilimnion	DOE Joint Genome Institute (JGI)	3300000648	404885	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
404886	3300000737	*Microbiome	Draft	Freshwater microbial communities from Lake Mendota and Trout Bog Lake, Wisconsin, USA	Freshwater microbial communities from Trout Bog Lake, WI - 21JUL2009 epilimnion	DOE Joint Genome Institute (JGI)	3300000737	404886	Trout Bog, Vilas County, Wisconsin, USA	Environmental	Aquatic	Lake, Lentic	Freshwater			In progress	Metagenome	Epilimnion	Freshwater	46.041	-89.686	0	0
